'A1','inicial - cuna'
'A2','inicial - jardín'
'A3','inicial - cuna jardín'
'A5','inicial - programa no escolarizado'
'B0','primaria'
'C0','primaria de adultos'
'D0','básica alternativa'
'D1','básica alternativa inicial e intermedio'
'D2','básica alternativo avanzado'
'E0','básica especial'
'E1','básica especial inicial'
'E2','básica especial primaria'
'F0','secundaria'
'G0','secundaria de adultos'
'K0','instituto superior pedagógico'
'L0','técnico productiva'
'L1','educación ocupacional'
'M0','escuela formación artística'
'P0','escuela superior pedagógica'
'T0','instituto superior tecnológico'

